Database Name: HR
1.Display all information in the tables EMP and DEPT.
mysql> select * from departments;
+---------------+---------------------+------------+-------------+
| department_id | department_name     | manager_id | location_id |
+---------------+---------------------+------------+-------------+
|            10 | Administration      |        200 |        1700 |
|            20 | Marketing           |        201 |        1800 |
|            30 | Purchasing          |        114 |        1700 |
|            40 | Human Resources     |        203 |        2400 |
|            50 | Shipping            |        121 |        1500 |
|            60 | IT                  |        103 |        1400 |
|            70 | Public Relations    |        204 |        2700 |
|            80 | Sales               |        145 |        2500 |
|            90 | Executive           |        100 |        1700 |
|           100 | Finance             |        108 |        1700 |
|           110 | Accounting          |        205 |        1700 |
|           120 | Treasury            |       NULL |        1700 |
|           130 | Corporate Tax       |       NULL |        1700 |
|           140 | Control And Credit  |       NULL |        1700 |
|           150 | Shareholder Service |       NULL |        1700 |
|           160 | Benefits            |       NULL |        1700 |
|           170 | Manufacturing       |       NULL |        1700 |
|           180 | Constuction         |       NULL |        1700 |
|           190 | Contracting         |       NULL |        1700 |
|           200 | Operations          |       NULL |        1700 |
|           210 | IT Support          |       NULL |        1700 |
|           220 | NOC                 |       NULL |        1700 |
|           230 | IT Helpdesk         |       NULL |        1700 |
|           240 | Government Sales    |       NULL |        1700 |
|           250 | Retail Sales        |       NULL |        1700 |
|           260 | Recruiting          |       NULL |        1700 |
|           270 | Payroll             |       NULL |        1700 |
+---------------+---------------------+------------+-------------+
mysql> select * from employees;
+-------------+-------------+-------------+----------+--------------------+------------+------------+----------+----------------+------------+---------------+
| employee_id | first_name  | last_name   | email    | phone_number       | hire_date  | job_id     | salary   | commission_pct | manager_id | department_id |
|         137 | Renske      | Ladwig      | RLADWIG  | 650.121.1234       | 1995-07-14 | ST_CLERK   |  3600.00 |           NULL |        123 |            50 |
|         138 | Stephen     | Stiles      | SSTILES  | 650.121.2034       | 1997-10-26 | ST_CLERK   |  3200.00 |           NULL |        123 |            50 |
|         139 | John        | Seo         | JSEO     | 650.121.2019       | 1998-02-12 | ST_CLERK   |  2700.00 |           NULL |        123 |            50 |
|         140 | Joshua      | Patel       | JPATEL   | 650.121.1834       | 1998-04-06 | ST_CLERK   |  2500.00 |           NULL |        123 |            50 |
|         141 | Trenna      | Rajs        | TRAJS    | 650.121.8009       | 1995-10-17 | ST_CLERK   |  3500.00 |           NULL |        124 |            50 |
|         142 | Curtis      | Davies      | CDAVIES  | 650.121.2994       | 1997-01-29 | ST_CLERK   |  3100.00 |           NULL |        124 |            50 |
|         143 | Randall     | Matos       | RMATOS   | 650.121.2874       | 1998-03-15 | ST_CLERK   |  2600.00 |           NULL |        124 |            50 |
|         144 | Peter       | Vargas      | PVARGAS  | 650.121.2004       | 1998-07-09 | ST_CLERK   |  2500.00 |           NULL |        124 |            50 |
|         145 | John        | Russell     | JRUSSEL  | 011.44.1344.429268 | 1996-10-01 | SA_MAN     | 14000.00 |           0.40 |        100 |            80 |
|         146 | Karen       | Partners    | KPARTNER | 011.44.1344.467268 | 1997-01-05 | SA_MAN     | 13500.00 |           0.30 |        100 |            80 |
|         147 | Alberto     | Errazuriz   | AERRAZUR | 011.44.1344.429278 | 1997-03-10 | SA_MAN     | 12000.00 |           0.30 |        100 |            80 |
|         148 | Gerald      | Cambrault   | GCAMBRAU | 011.44.1344.619268 | 1999-10-15 | SA_MAN     | 11000.00 |           0.30 |        100 |            80 |
|         149 | Eleni       | Zlotkey     | EZLOTKEY | 011.44.1344.429018 | 2000-01-29 | SA_MAN     | 10500.00 |           0.20 |        100 |            80 |
|         150 | Peter       | Tucker      | PTUCKER  | 011.44.1344.129268 | 1997-01-30 | SA_REP     | 10000.00 |           0.30 |        145 |            80 |
|         151 | David       | Bernstein   | DBERNSTE | 011.44.1344.345268 | 1997-03-24 | SA_REP     |  9500.00 |           0.25 |        145 |            80 |
|         152 | Peter       | Hall        | PHALL    | 011.44.1344.478968 | 1997-08-20 | SA_REP     |  9000.00 |           0.25 |        145 |            80 |
|         153 | Christopher | Olsen       | COLSEN   | 011.44.1344.498718 | 1998-03-30 | SA_REP     |  8000.00 |           0.20 |        145 |            80 |
|         154 | Nanette     | Cambrault   | NCAMBRAU | 011.44.1344.987668 | 1998-12-09 | SA_REP     |  7500.00 |           0.20 |        145 |            80 |
|         155 | Oliver      | Tuvault     | OTUVAULT | 011.44.1344.486508 | 1999-11-23 | SA_REP     |  7000.00 |           0.15 |        145 |            80 |
|         156 | Janette     | King        | JKING    | 011.44.1345.429268 | 1996-01-30 | SA_REP     | 10000.00 |           0.35 |        146 |            80 |
|         157 | Patrick     | Sully       | PSULLY   | 011.44.1345.929268 | 1996-03-04 | SA_REP     |  9500.00 |           0.35 |        146 |            80 |
|         158 | Allan       | McEwen      | AMCEWEN  | 011.44.1345.829268 | 1996-08-01 | SA_REP     |  9000.00 |           0.35 |        146 |            80 |
|         159 | Lindsey     | Smith       | LSMITH   | 011.44.1345.729268 | 1997-03-10 | SA_REP     |  8000.00 |           0.30 |        146 |            80 |
|         160 | Louise      | Doran       | LDORAN   | 011.44.1345.629268 | 1997-12-15 | SA_REP     |  7500.00 |           0.30 |        146 |            80 |
|         161 | Sarath      | Sewall      | SSEWALL  | 011.44.1345.529268 | 1998-11-03 | SA_REP     |  7000.00 |           0.25 |        146 |            80 |
|         162 | Clara       | Vishney     | CVISHNEY | 011.44.1346.129268 | 1997-11-11 | SA_REP     | 10500.00 |           0.25 |        147 |            80 |
|         163 | Danielle    | Greene      | DGREENE  | 011.44.1346.229268 | 1999-03-19 | SA_REP     |  9500.00 |           0.15 |        147 |            80 |
|         164 | Mattea      | Marvins     | MMARVINS | 011.44.1346.329268 | 2000-01-24 | SA_REP     |  7200.00 |           0.10 |        147 |            80 |
|         165 | David       | Lee         | DLEE     | 011.44.1346.529268 | 2000-02-23 | SA_REP     |  6800.00 |           0.10 |        147 |            80 |
|         166 | Sundar      | Ande        | SANDE    | 011.44.1346.629268 | 2000-03-24 | SA_REP     |  6400.00 |           0.10 |        147 |            80 |
|         167 | Amit        | Banda       | ABANDA   | 011.44.1346.729268 | 2000-04-21 | SA_REP     |  6200.00 |           0.10 |        147 |            80 |
|         168 | Lisa        | Ozer        | LOZER    | 011.44.1343.929268 | 1997-03-11 | SA_REP     | 11500.00 |           0.25 |        148 |            80 |
|         169 | Harrison    | Bloom       | HBLOOM   | 011.44.1343.829268 | 1998-03-23 | SA_REP     | 10000.00 |           0.20 |        148 |            80 |
|         170 | Tayler      | Fox         | TFOX     | 011.44.1343.729268 | 1998-01-24 | SA_REP     |  9600.00 |           0.20 |        148 |            80 |
|         171 | William     | Smith       | WSMITH   | 011.44.1343.629268 | 1999-02-23 | SA_REP     |  7400.00 |           0.15 |        148 |            80 |
|         172 | Elizabeth   | Bates       | EBATES   | 011.44.1343.529268 | 1999-03-24 | SA_REP     |  7300.00 |           0.15 |        148 |            80 |
|         173 | Sundita     | Kumar       | SKUMAR   | 011.44.1343.329268 | 2000-04-21 | SA_REP     |  6100.00 |           0.10 |        148 |            80 |
|         174 | Ellen       | Abel        | EABEL    | 011.44.1644.429267 | 1996-05-11 | SA_REP     | 11000.00 |           0.30 |        149 |            80 |
|         175 | Alyssa      | Hutton      | AHUTTON  | 011.44.1644.429266 | 1997-03-19 | SA_REP     |  8800.00 |           0.25 |        149 |            80 |
|         176 | Jonathon    | Taylor      | JTAYLOR  | 011.44.1644.429265 | 1998-03-24 | SA_REP     |  8600.00 |           0.20 |        149 |            80 |
|         177 | Jack        | Livingston  | JLIVINGS | 011.44.1644.429264 | 1998-04-23 | SA_REP     |  8400.00 |           0.20 |        149 |            80 |
|         178 | Kimberely   | Grant       | KGRANT   | 011.44.1644.429263 | 1999-05-24 | SA_REP     |  7000.00 |           0.15 |        149 |          NULL |
|         179 | Charles     | Johnson     | CJOHNSON | 011.44.1644.429262 | 2000-01-04 | SA_REP     |  6200.00 |           0.10 |        149 |            80 |
|         180 | Winston     | Taylor      | WTAYLOR  | 650.507.9876       | 1998-01-24 | SH_CLERK   |  3200.00 |           NULL |        120 |            50 |
|         181 | Jean        | Fleaur      | JFLEAUR  | 650.507.9877       | 1998-02-23 | SH_CLERK   |  3100.00 |           NULL |        120 |            50 |
|         182 | Martha      | Sullivan    | MSULLIVA | 650.507.9878       | 1999-06-21 | SH_CLERK   |  2500.00 |           NULL |        120 |            50 |
|         183 | Girard      | Geoni       | GGEONI   | 650.507.9879       | 2000-02-03 | SH_CLERK   |  2800.00 |           NULL |        120 |            50 |
|         184 | Nandita     | Sarchand    | NSARCHAN | 650.509.1876       | 1996-01-27 | SH_CLERK   |  4200.00 |           NULL |        121 |            50 |
|         185 | Alexis      | Bull        | ABULL    | 650.509.2876       | 1997-02-20 | SH_CLERK   |  4100.00 |           NULL |        121 |            50 |
|         186 | Julia       | Dellinger   | JDELLING | 650.509.3876       | 1998-06-24 | SH_CLERK   |  3400.00 |           NULL |        121 |            50 |
|         187 | Anthony     | Cabrio      | ACABRIO  | 650.509.4876       | 1999-02-07 | SH_CLERK   |  3000.00 |           NULL |        121 |            50 |
|         188 | Kelly       | Chung       | KCHUNG   | 650.505.1876       | 1997-06-14 | SH_CLERK   |  3800.00 |           NULL |        122 |            50 |
|         189 | Jennifer    | Dilly       | JDILLY   | 650.505.2876       | 1997-08-13 | SH_CLERK   |  3600.00 |           NULL |        122 |            50 |
|         190 | Timothy     | Gates       | TGATES   | 650.505.3876       | 1998-07-11 | SH_CLERK   |  2900.00 |           NULL |        122 |            50 |
|         191 | Randall     | Perkins     | RPERKINS | 650.505.4876       | 1999-12-19 | SH_CLERK   |  2500.00 |           NULL |        122 |            50 |
|         192 | Sarah       | Bell        | SBELL    | 650.501.1876       | 1996-02-04 | SH_CLERK   |  4000.00 |           NULL |        123 |            50 |
|         193 | Britney     | Everett     | BEVERETT | 650.501.2876       | 1997-03-03 | SH_CLERK   |  3900.00 |           NULL |        123 |            50 |
|         194 | Samuel      | McCain      | SMCCAIN  | 650.501.3876       | 1998-07-01 | SH_CLERK   |  3200.00 |           NULL |        123 |            50 |
|         195 | Vance       | Jones       | VJONES   | 650.501.4876       | 1999-03-17 | SH_CLERK   |  2800.00 |           NULL |        123 |            50 |
|         196 | Alana       | Walsh       | AWALSH   | 650.507.9811       | 1998-04-24 | SH_CLERK   |  3100.00 |           NULL |        124 |            50 |
|         197 | Kevin       | Feeney      | KFEENEY  | 650.507.9822       | 1998-05-23 | SH_CLERK   |  3000.00 |           NULL |        124 |            50 |
|         198 | Donald      | OConnell    | DOCONNEL | 650.507.9833       | 1999-06-21 | SH_CLERK   |  2600.00 |           NULL |        124 |            50 |
|         199 | Douglas     | Grant       | DGRANT   | 650.507.9844       | 2000-01-13 | SH_CLERK   |  2600.00 |           NULL |        124 |            50 |
|         200 | Jennifer    | Whalen      | JWHALEN  | 515.123.4444       | 1987-09-17 | AD_ASST    |  4400.00 |           NULL |        101 |            10 |
|         201 | Michael     | Hartstein   | MHARTSTE | 515.123.5555       | 1996-02-17 | MK_MAN     | 13000.00 |           NULL |        100 |            20 |
|         202 | Pat         | Fay         | PFAY     | 603.123.6666       | 1997-08-17 | MK_REP     |  6000.00 |           NULL |        201 |            20 |
|         203 | Susan       | Mavris      | SMAVRIS  | 515.123.7777       | 1994-06-07 | HR_REP     |  6500.00 |           NULL |        101 |            40 |
|         204 | Hermann     | Baer        | HBAER    | 515.123.8888       | 1994-06-07 | PR_REP     | 10000.00 |           NULL |        101 |            70 |
|         205 | Shelley     | Higgins     | SHIGGINS | 515.123.8080       | 1994-06-07 | AC_MGR     | 12000.00 |           NULL |        101 |           110 |
|         206 | William     | Gietz       | WGIETZ   | 51hr5.123.8181     | 1994-06-07 | AC_ACCOUNT |  8300.00 |           NULL |        205 |           110 |
+-------------+-------------+-------------+----------+--------------------+------------+------------+----------+----------------+------------+---------------+

2.Display only the hire date and employee name for each employee.
mysql> select first_name, last_name, hire_date from employees;
+-------------+-------------+------------+
| first_name  | last_name   | hire_date  |
+-------------+-------------+------------+
| Steven      | King        | 1987-06-17 |
| Neena       | Kochhar     | 1989-09-21 |
| Lex         | De Haan     | 1993-01-13 |
| Alexander   | Hunold      | 1990-01-03 |
| Bruce       | Ernst       | 1991-05-21 |
| David       | Austin      | 1997-06-25 |
| Valli       | Pataballa   | 1998-02-05 |
| Diana       | Lorentz     | 1999-02-07 |
| Nancy       | Greenberg   | 1994-08-17 |
| Daniel      | Faviet      | 1994-08-16 |
| John        | Chen        | 1997-09-28 |
| Ismael      | Sciarra     | 1997-09-30 |
| Jose Manuel | Urman       | 1998-03-07 |
| Luis        | Popp        | 1999-12-07 |
| Den         | Raphaely    | 1994-12-07 |
| Alexander   | Khoo        | 1995-05-18 |
| Shelli      | Baida       | 1997-12-24 |
| Sigal       | Tobias      | 1997-07-24 |
| Guy         | Himuro      | 1998-11-15 |
| Karen       | Colmenares  | 1999-08-10 |
| Matthew     | Weiss       | 1996-07-18 |
| Adam        | Fripp       | 1997-04-10 |
| Payam       | Kaufling    | 1995-05-01 |
| Shanta      | Vollman     | 1997-10-10 |
| Kevin       | Mourgos     | 1999-11-16 |
| Julia       | Nayer       | 1997-07-16 |
| Irene       | Mikkilineni | 1998-09-28 |
| James       | Landry      | 1999-01-14 |
| Steven      | Markle      | 2000-03-08 |
| Laura       | Bissot      | 1997-08-20 |
| Mozhe       | Atkinson    | 1997-10-30 |
| James       | Marlow      | 1997-02-16 |
| TJ          | Olson       | 1999-04-10 |
| Jason       | Mallin      | 1996-06-14 |
| Michael     | Rogers      | 1998-08-26 |
| Ki          | Gee         | 1999-12-12 |
| Hazel       | Philtanker  | 2000-02-06 |
| Renske      | Ladwig      | 1995-07-14 |
| Stephen     | Stiles      | 1997-10-26 |
| John        | Seo         | 1998-02-12 |
| Joshua      | Patel       | 1998-04-06 |
| Trenna      | Rajs        | 1995-10-17 |
| Curtis      | Davies      | 1997-01-29 |
| Randall     | Matos       | 1998-03-15 |
| Peter       | Vargas      | 1998-07-09 |
| John        | Russell     | 1996-10-01 |
| Karen       | Partners    | 1997-01-05 |
| Alberto     | Errazuriz   | 1997-03-10 |
| Gerald      | Cambrault   | 1999-10-15 |
| Eleni       | Zlotkey     | 2000-01-29 |
| Peter       | Tucker      | 1997-01-30 |
| David       | Bernstein   | 1997-03-24 |
| Peter       | Hall        | 1997-08-20 |
| Christopher | Olsen       | 1998-03-30 |
| Nanette     | Cambrault   | 1998-12-09 |
| Oliver      | Tuvault     | 1999-11-23 |
| Janette     | King        | 1996-01-30 |
| Patrick     | Sully       | 1996-03-04 |
| Allan       | McEwen      | 1996-08-01 |
| Lindsey     | Smith       | 1997-03-10 |
| Louise      | Doran       | 1997-12-15 |
| Sarath      | Sewall      | 1998-11-03 |
| Clara       | Vishney     | 1997-11-11 |
| Danielle    | Greene      | 1999-03-19 |
| Mattea      | Marvins     | 2000-01-24 |
| David       | Lee         | 2000-02-23 |
| Sundar      | Ande        | 2000-03-24 |
| Amit        | Banda       | 2000-04-21 |
| Lisa        | Ozer        | 1997-03-11 |
| Harrison    | Bloom       | 1998-03-23 |
| Tayler      | Fox         | 1998-01-24 |
| William     | Smith       | 1999-02-23 |
| Elizabeth   | Bates       | 1999-03-24 |
| Sundita     | Kumar       | 2000-04-21 |
| Ellen       | Abel        | 1996-05-11 |
| Alyssa      | Hutton      | 1997-03-19 |
| Jonathon    | Taylor      | 1998-03-24 |
| Jack        | Livingston  | 1998-04-23 |
| Kimberely   | Grant       | 1999-05-24 |
| Charles     | Johnson     | 2000-01-04 |
| Winston     | Taylor      | 1998-01-24 |
| Jean        | Fleaur      | 1998-02-23 |
| Martha      | Sullivan    | 1999-06-21 |
| Girard      | Geoni       | 2000-02-03 |
| Nandita     | Sarchand    | 1996-01-27 |
| Alexis      | Bull        | 1997-02-20 |
| Julia       | Dellinger   | 1998-06-24 |
| Anthony     | Cabrio      | 1999-02-07 |
| Kelly       | Chung       | 1997-06-14 |
| Jennifer    | Dilly       | 1997-08-13 |
| Timothy     | Gates       | 1998-07-11 |
| Randall     | Perkins     | 1999-12-19 |
| Sarah       | Bell        | 1996-02-04 |
| Britney     | Everett     | 1997-03-03 |
| Samuel      | McCain      | 1998-07-01 |
| Vance       | Jones       | 1999-03-17 |
| Alana       | Walsh       | 1998-04-24 |
| Kevin       | Feeney      | 1998-05-23 |
| Donald      | OConnell    | 1999-06-21 |
| Douglas     | Grant       | 2000-01-13 |
| Jennifer    | Whalen      | 1987-09-17 |
| Michael     | Hartstein   | 1996-02-17 |
| Pat         | Fay         | 1997-08-17 |
| Susan       | Mavris      | 1994-06-07 |
| Hermann     | Baer        | 1994-06-07 |
| Shelley     | Higgins     | 1994-06-07 |
| William     | Gietz       | 1994-06-07 |
+-------------+-------------+------------+

3.Display the last name concatenated with the job ID, separated by a comma and space, and name the column Employee and Title.
mysql> select concat(first_name," ",last_name,", ",job_id) as "Employee and Title" from employees;
+-------------------------------+
| Employee and Title            |
+-------------------------------+
| Steven King, AD_PRES          |
| Neena Kochhar, AD_VP          |
| Lex De Haan, AD_VP            |
| Alexander Hunold, IT_PROG     |
| Bruce Ernst, IT_PROG          |
| David Austin, IT_PROG         |
| Valli Pataballa, IT_PROG      |
| Diana Lorentz, IT_PROG        |
| Nancy Greenberg, FI_MGR       |
| Daniel Faviet, FI_ACCOUNT     |
| John Chen, FI_ACCOUNT         |
| Ismael Sciarra, FI_ACCOUNT    |
| Jose Manuel Urman, FI_ACCOUNT |
| Luis Popp, FI_ACCOUNT         |
| Den Raphaely, PU_MAN          |
| Alexander Khoo, PU_CLERK      |
| Shelli Baida, PU_CLERK        |
| Sigal Tobias, PU_CLERK        |
| Guy Himuro, PU_CLERK          |
| Karen Colmenares, PU_CLERK    |
| Matthew Weiss, ST_MAN         |
| Adam Fripp, ST_MAN            |
| Payam Kaufling, ST_MAN        |
| Shanta Vollman, ST_MAN        |
| Kevin Mourgos, ST_MAN         |
| Julia Nayer, ST_CLERK         |
| Irene Mikkilineni, ST_CLERK   |
| James Landry, ST_CLERK        |
| Steven Markle, ST_CLERK       |
| Laura Bissot, ST_CLERK        |
| Mozhe Atkinson, ST_CLERK      |
| James Marlow, ST_CLERK        |
| TJ Olson, ST_CLERK            |
| Jason Mallin, ST_CLERK        |
| Michael Rogers, ST_CLERK      |
| Ki Gee, ST_CLERK              |
| Hazel Philtanker, ST_CLERK    |
| Renske Ladwig, ST_CLERK       |
| Stephen Stiles, ST_CLERK      |
| John Seo, ST_CLERK            |
| Joshua Patel, ST_CLERK        |
| Trenna Rajs, ST_CLERK         |
| Curtis Davies, ST_CLERK       |
| Randall Matos, ST_CLERK       |
| Peter Vargas, ST_CLERK        |
| John Russell, SA_MAN          |
| Karen Partners, SA_MAN        |
| Alberto Errazuriz, SA_MAN     |
| Gerald Cambrault, SA_MAN      |
| Eleni Zlotkey, SA_MAN         |
| Peter Tucker, SA_REP          |
| David Bernstein, SA_REP       |
| Peter Hall, SA_REP            |
| Christopher Olsen, SA_REP     |
| Nanette Cambrault, SA_REP     |
| Oliver Tuvault, SA_REP        |
| Janette King, SA_REP          |
| Patrick Sully, SA_REP         |
| Allan McEwen, SA_REP          |
| Lindsey Smith, SA_REP         |
| Louise Doran, SA_REP          |
| Sarath Sewall, SA_REP         |
| Clara Vishney, SA_REP         |
| Danielle Greene, SA_REP       |
| Mattea Marvins, SA_REP        |
| David Lee, SA_REP             |
| Sundar Ande, SA_REP           |
| Amit Banda, SA_REP            |
| Lisa Ozer, SA_REP             |
| Harrison Bloom, SA_REP        |
| Tayler Fox, SA_REP            |
| William Smith, SA_REP         |
| Elizabeth Bates, SA_REP       |
| Sundita Kumar, SA_REP         |
| Ellen Abel, SA_REP            |
| Alyssa Hutton, SA_REP         |
| Jonathon Taylor, SA_REP       |
| Jack Livingston, SA_REP       |
| Kimberely Grant, SA_REP       |
| Charles Johnson, SA_REP       |
| Winston Taylor, SH_CLERK      |
| Jean Fleaur, SH_CLERK         |
| Martha Sullivan, SH_CLERK     |
| Girard Geoni, SH_CLERK        |
| Nandita Sarchand, SH_CLERK    |
| Alexis Bull, SH_CLERK         |
| Julia Dellinger, SH_CLERK     |
| Anthony Cabrio, SH_CLERK      |
| Kelly Chung, SH_CLERK         |
| Jennifer Dilly, SH_CLERK      |
| Timothy Gates, SH_CLERK       |
| Randall Perkins, SH_CLERK     |
| Sarah Bell, SH_CLERK          |
| Britney Everett, SH_CLERK     |
| Samuel McCain, SH_CLERK       |
| Vance Jones, SH_CLERK         |
| Alana Walsh, SH_CLERK         |
| Kevin Feeney, SH_CLERK        |
| Donald OConnell, SH_CLERK     |
| Douglas Grant, SH_CLERK       |
| Jennifer Whalen, AD_ASST      |
| Michael Hartstein, MK_MAN     |
| Pat Fay, MK_REP               |
| Susan Mavris, HR_REP          |
| Hermann Baer, PR_REP          |
